id,username,time_created,tweet,retweet_count,location_user,place_tweet
641,IndiaToday,2019-01-16 22:21:58+05:30,"#ModiVsRest
KCR is now trying to fish in shallow waters: @BJPKrishnasagar
#NEWSROOM
Live: https://t.co/4fqxBVUizL https://t.co/YI1ojlh63M",1,India,
642,ZeeNews,2019-01-16 22:21:03+05:30,"10 Year Challenge: Sonam Kapoor, Shilpa Shetty, Bipasha Basu and many others share decade old pics

https://t.co/i8BkM4z5ON",3,India,
643,the_hindu,2019-01-16 22:20:06+05:30,"An Indian-American doctor, indicted in one of the largest healthcare fraud cases in the US history involving a $464 million conspiracy, was freed on a record-setting $7 million bond.
https://t.co/cFYPaJpdn8",13,"Chennai, India",
644,dna,2019-01-16 22:19:46+05:30,"BJP president #AmitShah suffering from swine flu, admitted to AIIMS

https://t.co/x1u76753Y1",1,India,
645,ndtv,2019-01-16 22:19:12+05:30,"""Treat mine as yours"": Omar Abullah invites KTR to Kashmir home https://t.co/zzOOXTV9F7 https://t.co/nNBiTGC2lN",2,India,
646,ndtv,2019-01-16 22:19:00+05:30,"RT @Sports_NDTV: Dominant Punjab cagers enter semis of under-17 basketball

#KheloIndiaYouthGames2019

READ: https://t.co/EBh40R2rlv https:…",1,India,
647,IndiaToday,2019-01-16 22:18:45+05:30,"#ModiVsRest
No party is likely to get majority in 2019, hence we are trying to build a federal front: @narsaiah
#NEWSROOM
Live: https://t.co/4fqxBVUizL https://t.co/Lh40Zq2n7X",1,India,
648,IndianExpress,2019-01-16 22:18:32+05:30,"Delhi airport operator DIAL to levy X-ray baggage charges from Feb 1

https://t.co/vgAZ1Zg81n",3,India,
649,ndtv,2019-01-16 22:18:29+05:30,PM Modi spoke as RSS pracharak on #Sabarimala issue: CPI(M) https://t.co/cYhUu02JbE https://t.co/lVrXYkkS2d,7,India,
650,IndianExpress,2019-01-16 22:17:46+05:30,"#ieWorld: China is expanding its access to foreign ports, warns Pentagon | READ https://t.co/q4ZfYvv07C",2,India,
651,ndtv,2019-01-16 22:17:45+05:30,India summons Pakistan High Commission official over civilian's death in Jammu and Kashmir https://t.co/qjpUNSUjkH,4,India,
652,IndiaToday,2019-01-16 22:17:29+05:30,"#ModiVsRest
TDP to dump Congress in Andhra before general elections? 
#NEWSROOM
Live: https://t.co/4fqxBVUizL https://t.co/tJTe7C5QZV",3,India,
653,htTweets,2019-01-16 22:16:02+05:30,"Top story on https://t.co/o0DfqOYtUN right now

Read here: https://t.co/x8c0SFIFl0

#HTTopStory #Jallikattu2019 https://t.co/hFRfHoR1dI",1,India,
654,ndtv,2019-01-16 22:15:30+05:30,"BJP chief #AmitShah down with swine flu, being treated at Delhi's AIIMS https://t.co/Pc3a6dzCa2 https://t.co/EyVTG7iytc",15,India,
655,htTweets,2019-01-16 22:15:00+05:30,"RBI clears reappointment of Vishakha Mulye as ED of ICICI Bank
https://t.co/Tjup8hW0L1 https://t.co/RLFGeP4CoF",2,India,
656,jeffclune,2019-01-16 22:14:51+05:30,Congratulations Dr. Edwards!!! We in Uber AI Labs are extremely excited to have you join us next month!!!! @RealAshEdwards https://t.co/4xVOPi5PP8,0,"San Francisco, CA",
657,ndtv,2019-01-16 22:14:44+05:30,Jammu and Kashmir man wanted in rash driving case arrested after 12 years https://t.co/21g1BI3oxh https://t.co/Wc0HR5cQ1N,1,India,
658,IndianExpress,2019-01-16 22:14:21+05:30,"RT @IExpressSports: #Replug

Read the entire E-mail exchange between CoA members and BCCI office bearers on the Hardik Pandya, KL Rahul con…",4,India,
659,IndiaToday,2019-01-16 22:14:03+05:30,Shocking visuals of violence during Makar Sakranti festivities came from Mandya district of Karnataka. Catch the full report in #5iveLive with @ShivAroor: https://t.co/9tHeTtPWVf https://t.co/UJHl59hkQt,3,India,
660,ndtv,2019-01-16 22:13:53+05:30,AAP seeks Sukhpal Khaira's disqualification from Punjab Assembly https://t.co/TekjDfnRYM https://t.co/zNAVxhprAc,3,India,
661,ndtv,2019-01-16 22:13:31+05:30,".@OnReality_Check | 10 per cent quota: The right way ahead?

Watch full show: https://t.co/hn9kbSNX0P https://t.co/o7iIDplkmC",2,India,
662,IndianExpress,2019-01-16 22:13:10+05:30,RT @IExpressSports: More on New Zealand's squad to face India in first three ODIs: https://t.co/ZltQ5SHaZL,3,India,
663,dna,2019-01-16 22:12:18+05:30,"Delhi: Pay up to Rs 50 for baggage scan at IGI airport, DIAL to charge X-ray fee from February 1

https://t.co/anWZqtfTDY",3,India,
702,IndiaToday,2019-01-16 21:52:28+05:30,"#ChurchVsNuns
Church backs rape accused bishop, nuns shunted out | @ShaliniLobo93
#NewsToday 
Live: https://t.co/4fqxBVUizL https://t.co/9VtHWkIiJn",6,India,
664,GoogleAI,2019-01-16 22:12:17+05:30,"We are happy to collaborate with @Waymo researchers to automate the design of #machinelearning models to make self-driving cars a reality. For more details, check out their blog post at https://t.co/gySvky7HgO",24,"Mountain View, CA",
665,rajnathsingh,2019-01-16 22:12:04+05:30,Spoke to @AmitShah ji who is undergoing treatment for Swine Flu at AIIMS and inquired about his health. I pray for his speedy recovery.,251,"",
666,the_hindu,2019-01-16 22:10:07+05:30,"The technology may pave the way for aquatic pollution-monitoring devices  
https://t.co/MBhIW4Lhd3",3,"Chennai, India",
667,suhasinih,2019-01-16 22:10:04+05:30,A loan to help repayments? 😱 https://t.co/MSxzMQDw0z,8,New Delhi,
668,ndtv,2019-01-16 22:09:47+05:30,"Man sleeps with angeethi in car, dies of suffocation: Noida Police https://t.co/2FqoGOqcSH https://t.co/FKXUtiE3vL",2,India,
669,IndiaToday,2019-01-16 22:09:24+05:30,The Nataka in Karnataka is growing with BJP trying to save its MLAs from being poached. Get the details in #5iveLive with @ShivAroor: https://t.co/9tHeTu7xMN https://t.co/cexcjWTygl,6,India,
670,IndianExpress,2019-01-16 22:08:54+05:30,"Shah reached the hospital at around 9 pm and is admitted in the old private ward of the hospital.

https://t.co/qVUe827wQ4",7,India,
671,ndtv,2019-01-16 22:08:38+05:30,"""Bengal government will develop Tajpur port on its own"": Mamata Banerjee https://t.co/xx3sDyIPRo https://t.co/qnlJLyDLHc",2,India,
672,ndtv,2019-01-16 22:07:58+05:30,"All's not well in the judiciary?

Senior Supreme Court advocate Vikas Singh on @LRC_NDTV https://t.co/1weFuG43Gr",6,India,
673,ndtv,2019-01-16 22:06:39+05:30,"All's not well in the judiciary?

Raju Ramachandran, senior Supreme Court advocate, on @LRC_NDTV https://t.co/F00FlayBsm",5,India,
674,IndiaToday,2019-01-16 22:06:02+05:30,Watch how a right-handed David Warner demolished Chris Gayle in #BPL2019 match between Sylhet Sixers and Rangpur Riders #SYLvRGR https://t.co/vqD8ssom0b,4,India,
675,ndtv,2019-01-16 22:05:40+05:30,"All's not well in the judiciary?

Former Attorney General Soli Sorabjee on @LRC_NDTV https://t.co/faTGBpKRCL",5,India,
676,IndiaToday,2019-01-16 22:05:19+05:30,"RT @Showbiz_IT: Laado 2 actress Palak Jain all set to tie the knot with beau Tapasvi Mehta
https://t.co/dXKr7xLpwp https://t.co/9IqOPfWCdj",3,India,
677,htTweets,2019-01-16 22:05:01+05:30,"Holding an election is the worst thing Britain could do now, says PM Theresa May
https://t.co/m9zLUxi1aP https://t.co/LKOWEy32rQ",5,India,
678,IndiaToday,2019-01-16 22:04:37+05:30,"Shivakumar, the Karnataka Congress troubleshooter, today claimed that the Karnataka government is totally stable.
#ITVideo 
More videos: https://t.co/NounxnP7mg https://t.co/OfiXj47TCq",4,India,
679,ndtv,2019-01-16 22:02:04+05:30,"Top stories now on https://t.co/Fbzw6mR9Q5 

#NDTVTopStories https://t.co/enwCTk3uek",2,India,
680,rajnathsingh,2019-01-16 22:01:27+05:30,"अमितभाई, आपके जल्द से जल्द स्वस्थ होने की मैं ईश्वर से कामना करता हूँ। https://t.co/10N4B1ZIkH",191,"",
681,DDNewsLive,2019-01-16 22:00:39+05:30,"Bharatiya Janata Party (BJP) President #AmitShah admitted in AIIMS, Delhi; getting treatment for Swine Flu",16,"New Delhi, India",
682,the_hindu,2019-01-16 22:00:17+05:30,"Watch: The three-day event this year has 10 hot air balloons from eight countries.  
https://t.co/pv0pmUiuHq",3,"Chennai, India",
683,IndiaToday,2019-01-16 22:00:15+05:30,RT @ITGDsports: Maria Sharapova did not face a single breakpoint in the match and sealed it in 71 minutes against Sweden's Rebecca Peterson…,4,India,
684,GCPcloud,2019-01-16 22:00:02+05:30,Learn how to run deep learning inference workloads at scale with TensorRT 5 and NVIDIA T4 GPUs with this tutorial → https://t.co/rpB4d9XZPZ https://t.co/jz9MyJ86Ho,1,"",
685,ndtv,2019-01-16 21:57:56+05:30,CBI's Rakesh Asthana moves high court seeking corrections in judgement https://t.co/ul5izS6Nez https://t.co/ex9WuFWkg9,0,India,
686,dna,2019-01-16 21:57:55+05:30,"'Angel Tax' hits Indian startup ecosystem, iSPIRT writes to PM Modi for relief

https://t.co/2fqwEIQ6CF",2,India,
687,IndianExpress,2019-01-16 21:57:49+05:30,"Justice Lodha said that the only remedy is that for the future the Collegium considers other names like it happened with Justice Dinesh Maheshwari

https://t.co/bp2eCVuDDN",3,India,
688,ndtv,2019-01-16 21:57:39+05:30,"At 35, Satyarup Siddhanta becomes world's youngest to climb 7 volcanic peaks https://t.co/K90cGPT7VI https://t.co/EP6jemZ1Hc",6,India,
689,ndtv,2019-01-16 21:57:24+05:30,35-year-old rape survivor hangs herself in UP https://t.co/9voI2nMHD5 https://t.co/BkorLMPy0l,6,India,
690,ndtv,2019-01-16 21:57:05+05:30,"RT @NDTVProfit: New E-commerce Rules Could Hit Online Sales By $46 Billion: PwC Report
https://t.co/sDkGTSKCsX",3,India,
691,ndtv,2019-01-16 21:56:59+05:30,"RT @moviesndtv: Not #10YearChallenge, But We Like Rohan Mehra's Throwback Post Anyway
https://t.co/Iib03N9Kzi https://t.co/kM9eDIsXz2",1,India,
692,ndtv,2019-01-16 21:56:07+05:30,"All's not well in the judiciary?

Justice Kailash Gambhir, Former Judge, Delhi High Court, on @LRC_NDTV https://t.co/8XE8SMJiuG",3,India,
